clip,face_ratio_mean,face_ratio_std,facing_front_frac,head_down_frac,nose_conf_mean,nose_x_std,nose_y_std
1100011002.avi,0.5564084401399175,0.04762737098034982,1.0,0.0,0.9714775065581004,7.854606595185135,2.270720747984876
1100021001.avi,0.5573941403800878,0.03134348431175587,1.0,0.0,0.9871513038873673,19.686023962616044,21.047805512333262
1100041006.avi,0.5889244668861959,0.019203972203173263,1.0,0.0,0.9826687653859456,7.316098016015571,1.4952127304130314
1100051002.avi,0.5160559043437714,0.010026298163622693,1.0,0.0,0.9944424877564112,2.982019151023191,0.7948102317032288
1100061009.avi,0.44954861945199104,0.00567376627716595,1.0,0.0,0.9879392673571904,0.9472018526913359,1.6573235726949036
1100071005.avi,0.5092222635125645,0.007267788168495392,1.0,0.0,0.9390693664550781,2.993134463717351,3.7527928204246748
1100081044.avi,0.4953165616084366,0.006226403035923556,1.0,0.0,0.9782949994007747,4.859461281072209,7.153244140353541
1100102003.avi,0.4911266424084921,0.025062452085536518,1.0,0.0,0.9890482991933822,3.2730200546300106,5.618653000116911
1100111001.avi,0.4844700189103966,0.02852346582848991,1.0,0.0,0.9869005600611369,4.132218491378032,3.9584281835136466
1100121002.avi,0.4869598868771387,0.004803929103745244,1.0,0.0,0.992879581451416,0.842216535636164,0.9786964725841641
1100131006.avi,0.5431143297177864,0.03694619211936502,1.0,0.0,0.9844156334797541,8.201122514066425,2.0320080829856355
1100141001.avi,0.5307901577085145,0.049574715416839714,1.0,0.0,0.9685642590125402,32.247755401158905,14.240211681918119
1100151003.avi,0.5157229216000341,0.04325989004279184,1.0,0.0,0.9861647963523865,13.505055894415008,6.367260625791063
1100161002.avi,0.5292582888205767,0.010295889814527255,1.0,0.0,0.9942218611637751,5.417053270543135,9.57582940465302
1100171001.avi,0.43838071057468003,0.03841282676280713,1.0,0.0,0.9934460431337356,10.909717071121888,5.133841231160875
1100411010.avi,0.3936955555487714,0.01392736793680451,1.0,0.0,0.9893267512321472,6.095474433121427,4.089698347004374
1110031003.avi,0.5406682484654814,0.021213036859919692,1.0,0.0,0.9917484025160471,13.956129840049034,12.217522456203241
1813740111.avi,0.48611334121156796,0.009619894136744071,1.0,0.0,0.9855090419451396,1.2879706089850358,1.2484344459717804
2000481035.avi,0.5271822398659891,0.019041573474902276,1.0,0.0,0.972824697693189,7.778987617812895,8.791304479998873
2000491062.avi,0.49023940608443123,0.002610487127901263,1.0,0.0,0.9641201118628184,0.46931953211310123,0.6844323896426933
2000501001.avi,0.5647703529381547,0.004813716559693724,1.0,0.0,0.9708649506171544,0.5695179677197313,0.9021524986015923
2000541001.avi,0.453390059583198,0.012591763540184818,1.0,0.0,0.9786481976509094,4.486234551892602,6.566242409829412
205601011.avi,0.5194831146305665,0.0073929738456728995,1.0,0.0,0.9765553116798401,2.34157893152896,1.9593587991061088
2100511002.avi,0.4917206066329554,0.009060041452690865,1.0,0.0,0.9842752953370412,1.7663037098345964,0.8405579644285689
2100521002.avi,0.513783089204851,0.01838953042980872,1.0,0.0,0.9807854264974594,3.8628469644419434,3.9265984923548523
2100531001.avi,0.5170633496281182,0.005393040179368571,1.0,0.0,0.9695858299732208,0.6125073053898794,1.3618909357253077
2100551002.avi,0.5079948612203461,0.004672696237988037,1.0,0.0,0.9891615509986877,0.8831037166195362,2.2694714387603696
2100561006.avi,0.5692309425182986,0.006534220905864854,1.0,0.0,0.9756300995747248,1.1097685060961768,1.2683595225542745
2100571001.avi,0.4722203847477882,0.025684830413213844,1.0,0.0,0.9627856840689977,3.2851555650306588,5.362816054220305
2100581001.avi,0.47376417344765237,0.0258204107565602,1.0,0.0,0.986722253759702,15.206107120186996,14.5172943493881
2100591002.avi,0.49367213592930326,0.025992906387779527,1.0,0.0,0.9822691927353541,6.259020003625331,5.5111774396035464
2100601001.avi,0.5177570241110682,0.0035165175444106245,1.0,0.0,0.9826232006152471,1.687857378433917,1.748177387082294
